angry0,angry1,angry2,box0,box1,box2,disgust0,disgust1,disgust2,fear0,fear1,fear2,happy0,happy1,happy2,neutral0,neutral1,neutral2,sad0,sad1,sad2,surprise0,surprise1,surprise2
0.0,0.18,,"[1377, 187, 961, 1228]","[2945, 1913, 57, 71]",,0.0,0.0,,0.0,0.08,,1.0,0.01,,0.0,0.13,,0.0,0.59,,0.0,0.01,
0.0,0.19,,"[1382, 156, 964, 1247]","[1292, 1743, 24, 31]",,0.0,0.04,,0.0,0.13,,1.0,0.08,,0.0,0.03,,0.0,0.53,,0.0,0.01,
0.0,,,"[1369, 133, 993, 1310]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,0.29,0.16,"[1366, 131, 994, 1313]","[2951, 1912, 50, 63]","[1289, 1741, 25, 33]",0.0,0.0,0.02,0.0,0.1,0.1,1.0,0.01,0.15,0.0,0.09,0.05,0.0,0.5,0.51,0.0,0.01,0.01
0.0,,,"[1357, 133, 994, 1295]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1362, 138, 990, 1286]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1359, 134, 993, 1287]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,0.33,,"[1350, 125, 999, 1296]","[2950, 1910, 49, 61]",,0.0,0.0,,0.0,0.11,,1.0,0.02,,0.0,0.12,,0.0,0.41,,0.0,0.01,
0.0,0.23,,"[1337, 125, 1011, 1297]","[1279, 1740, 23, 29]",,0.0,0.05,,0.0,0.1,,1.0,0.17,,0.0,0.06,,0.0,0.37,,0.0,0.02,
0.0,0.26,,"[1338, 139, 1001, 1283]","[1276, 1740, 21, 27]",,0.0,0.02,,0.0,0.1,,1.0,0.17,,0.0,0.06,,0.0,0.37,,0.0,0.01,
0.0,0.24,,"[1337, 143, 994, 1287]","[1273, 1740, 22, 28]",,0.0,0.03,,0.0,0.1,,1.0,0.2,,0.0,0.06,,0.0,0.36,,0.0,0.01,
